Project ID	Project Name	Project Address	Total Units	Affordable Units	Affordable Beds	Project Sponsor	City Analysis Neighborhood	Supervisor District	Project Location	Latitude	Longitude
1997-008	Canon Barcus Community House	"670 Natoma St, San Francisco, CA 94103"	48	48	0	Episcopal Community Services	South of Market	6	"(37.7771416, -122.4118881)"	37.7771416	 -122.4118881
1997-009	26th Street Cooperative Apartments	"3327-3331 26th St, San Francisco, CA 94110"	10	0	16	Conard House	Mission	9	"(37.7488747, -122.4165878)"	37.7488747	 -122.4165878
1997-010	La Playa Apartments	"770 La Playa St, San Francisco, CA 94121"	14	13	0	Progress Foundation	Outer Richmond	1	"(37.7739334, -122.5097504)"	37.7739334	 -122.5097504
1997-011	Autumn Glow	"654 Grove St, San Francisco, CA 94102"	15	0	15	Self Help For The Elderly	Hayes Valley	5	"(37.7774925, -122.4273682)"	37.7774925	 -122.4273682
1997-012	SOMA Residences	"1045 Mission St, San Francisco, CA 94103"	278	55	0	"Emerald Fund, Inc."	South of Market	6	"(37.7797432, -122.4096451)"	37.7797432	 -122.4096451
1997-013	Laurel Gardens Apartments	"1555 Turk St, San Francisco, CA 94115"	52	51	0	Bethel African Methodist Episcopal Church	Western Addition	5	"(37.7798805, -122.4344864)"	37.7798805	 -122.4344864
1997-014	Bayview Commons	"4445 3rd St, San Francisco, CA 94124"	30	29	0	San Francisco Housing Development Corporation	Bayview Hunters Point	10	"(37.7373314, -122.3894348)"	37.7373314	 -122.3894348
1997-015	Positive Match	"1652 Eddy St, San Francisco, CA 94115"	7	7	0	Bernal Heights Neighborhood Center	Western Addition	5	"(37.781292, -122.4349594)"	"37.781292,"	-122.4349594)
1997-016	Church Street Apartments	"1 Church St, San Francisco, CA 94114"	93	92	0	Bridge Housing	Hayes Valley	8	"(37.7699509, -122.4287415)"	37.7699509	 -122.4287415
1997-017	Avalon At Mission Bay (Tower 2)	"200-298 Berry St, San Francisco, CA 94158"	313	19	0	AvalonBay Communities Inc.	Mission Bay	6	"(37.7743988, -122.3956451)"	37.7743988	 -122.3956451
1997-018	Avalon At Mission Bay (Tower 1)	"255 King St, San Francisco, CA 94107"	510	21	0	AvalonBay Communities Inc.	Mission Bay	6	"(37.7765312, -122.3932495)"	37.7765312	 -122.3932495
1997-019	Tabernacle Vista Apartments	"2139 O'Farrell St, San Francisco, CA 94115"	21	21	0	Tabernacle Community Development Corporation	Western Addition	5	"(37.7820435, -122.4401703)"	37.7820435	 -122.4401703
